model_family,model_config_id,schedule_config_id,adaptive_schedule_config_id,lapse_config_id,noise_config_id,parameter_setting,mechanism_score,behavior_score,fast_error_preservation_score,incongruent_repair_score,naturalness_penalty,lapse_penalty,adaptive_schedule_plausibility_score,combined_score,young_20_29_overall_accuracy,young_20_29_congruent_error_rate,young_20_29_incongruent_error_rate,young_20_29_congruent_error_count,young_20_29_congruent_error_rt_minus_correct_rt,young_20_29_incongruent_flanker_choice_proportion,young_20_29_early_flanker_dominance,young_20_29_target_recovery_time,young_20_29_lapse_trigger_proportion,young_20_29_compression_trial_mean,young_20_29_conflict_score_mean,young_20_29_control_strength_mean,older_80_89_overall_accuracy,older_80_89_congruent_error_rate,older_80_89_incongruent_error_rate,older_80_89_congruent_error_count,older_80_89_congruent_error_rt_minus_correct_rt,older_80_89_incongruent_flanker_choice_proportion,older_80_89_early_flanker_dominance,older_80_89_target_recovery_time,older_80_89_lapse_trigger_proportion,older_80_89_compression_trial_mean,older_80_89_conflict_score_mean,older_80_89_control_strength_mean,pass_lenient,pass_main,pass_strict,fail_count_main,first_failed_constraint_main,failure_reason_category,recommended_for_next_search
WR2_uncertainty_schedule_fine,WR2_fine_84f02516,c0.72_ls-30_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -30, ""transition_width"": 1.0}}",0.075,0.18341492966952505,0.5032633918336404,0.11577144091829064,0.575,0.0,0.075,1.452449762421456,0.8751128800722432,0.01598721023181455,0.23378702962369896,40.0,0.006053567334561749,0.233386709367494,0.46627969041900186,0.12059447558046438,0.0,0.5941679893025712,0.0006982096040678565,0.5243001753918206,0.9588777870561203,0.007174172977281785,0.07507025291047772,18.0,-0.022103261859098278,0.07507025291047772,0.4664257995450287,0.12008229626655961,0.0,0.5920102259349128,0.0031629127845183014,0.5332908561928353,False,False,False,2,main_young_incongruent_error_rate_le_0.20,no_congruent_fast_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_e7df19d8,c0.72_ls-30_tw1.00_ep20,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 20, ""late_shift_ms"": -30, ""transition_width"": 1.0}}",0.075,0.18483834221517292,0.5015,0.1173269004605531,0.575,0.0,0.075,1.453665242675726,0.8737136791767546,0.01838529176658673,0.23418734987990392,46.0,-0.005777806381808026,0.23298638911128902,0.4663330664531626,0.12084267413931145,0.0,0.5941703355119824,0.0006974915666126402,0.5242904006115853,0.9560734307116621,0.00876843363889996,0.07908470493777599,22.0,-0.0328193560324902,0.07908470493777599,0.46635889201124037,0.12030309112806102,0.0,0.5919047025365827,0.0031597951263028223,0.5337305368526921,True,False,False,1,main_young_incongruent_error_rate_le_0.20,high_incongruent_error,keep_as_diagnostic
WR2_uncertainty_schedule_fine,WR2_fine_6ed34fb2,c0.72_ls-40_tw0.90_ep20,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 20, ""late_shift_ms"": -40, ""transition_width"": 0.9}}",0.075,0.1787172520104031,0.5114938600866494,0.11431563958513258,0.575,0.0,0.075,1.454526751682185,0.8733139989209593,0.019184652278177457,0.23418734987990392,48.0,0.0186817105085314,0.23418734987990392,0.46550573792367234,0.11432491987179488,0.0,0.5781133775273611,0.0006881549599950243,0.5255060932785424,0.9600893227576229,0.009166998804304504,0.07065435568044962,23.0,0.019293729838066875,0.07065435568044962,0.4654623310584772,0.11380168606985147,0.0,0.5754645993162683,0.003120065128992655,0.5353163832399863,False,False,False,3,main_young_incongruent_error_rate_le_0.20,no_congruent_fast_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_204b3688,c0.72_ls-30_tw0.90_ep40,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 40, ""late_shift_ms"": -30, ""transition_width"": 0.9}}",0.075,0.1778955403561208,0.5140223846648007,0.11291606548988689,0.575,0.0,0.075,1.4548339905108083,0.8771151213536776,0.016786570743405275,0.22898318654923938,42.0,-0.02070186444656641,0.22898318654923938,0.46745396317053634,0.11586538461538463,0.0,0.5780182911770143,0.0006898690247142403,0.5258582653428515,0.9592864323521633,0.009166998804304504,0.07226013649136893,23.0,0.049089538659202625,0.0718586912886391,0.4675364646059146,0.1155018065034123,0.0,0.5754542727890182,0.0031275617288114566,0.5353546296395469,False,False,False,2,main_young_incongruent_error_rate_le_0.20,high_incongruent_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_2738a3a6,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.38, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",0.075,0.18503725734939666,0.5022639716086305,0.11762376581313225,0.575,0.0,0.075,1.4549249947711593,0.87211207815173,0.017985611510791366,0.2377902321857486,45.0,-0.006150458496568811,0.2377902321857486,0.46645316253002395,0.12065652522017616,0.0,0.5941326352546283,0.0006986933430450648,0.5244474833938426,0.9580777766879858,0.007971303308090873,0.07587314331593738,20.0,0.0020558864345220362,0.07587314331593738,0.4662518399571792,0.12006824568446409,0.0,0.5920153653435105,0.0031649739441771962,0.533269444258871,False,False,False,2,main_young_incongruent_error_rate_le_0.20,high_incongruent_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_5ba34cf5,c0.72_ls-40_tw0.90_ep20,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.38, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 20, ""late_shift_ms"": -40, ""transition_width"": 0.9}}",0.075,0.18615156744516945,0.5023015473543062,0.11667342705959227,0.575,0.0,0.075,1.4551265418590678,0.8749120799437311,0.015187849720223821,0.23498799039231386,38.0,0.0022061894172249463,0.2345876701361089,0.4676541232986389,0.11689827793352021,0.0,0.5780167691757607,0.0006881549599950243,0.5258639038614452,0.9584749018347278,0.006775607811877242,0.0762745885186672,17.0,-0.009302764098988336,0.0762745885186672,0.4676836611802489,0.11614612605379364,0.0,0.5752485815392704,0.003120065128992655,0.536116449051439,False,False,False,2,main_young_incongruent_error_rate_le_0.20,no_congruent_fast_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_4ea1cd83,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.38, ""theta_quantile"": 0.45, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",0.075,0.1713201386490012,0.5239007438314847,0.1101042616509908,0.575,0.0,0.075,1.4553251441314765,0.8749155999459839,0.01958433253397282,0.23058446757405926,49.0,0.026747727623305018,0.23058446757405926,0.4644515612489992,0.11707566052842275,0.0,0.5762256789211294,0.0006986933430450648,0.5990598022830912,0.9643016173489609,0.008369868473495417,0.0630268968285829,21.0,0.06085524770263384,0.0630268968285829,0.46460591462598694,0.11698715375351264,0.0,0.5763457891095745,0.0031649739441771962,0.5985593441177002,False,False,False,3,main_young_incongruent_error_rate_le_0.20,no_congruent_fast_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_cc95e708,c0.72_ls-30_tw0.90_ep20,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 20, ""late_shift_ms"": -30, ""transition_width"": 0.9}}",0.075,0.18568524742514403,0.5016005406306348,0.11807061064347261,0.575,0.0,0.075,1.4553563986992515,0.8691106362308072,0.019184652278177457,0.24259407526020815,48.0,-0.0005978374774608941,0.24179343474779824,0.46737389911929544,0.11636818910256412,0.0,0.5779969774649387,0.0006878268912274832,0.5259372051066645,0.9596835574989051,0.007971303308090873,0.07266158169409875,20.0,-0.04507353422319904,0.07226013649136893,0.4675230830991569,0.11599558410276997,0.0,0.5755327980916101,0.0031186694356249434,0.5350637964592593,True,False,False,1,main_young_incongruent_error_rate_le_0.20,high_incongruent_error,keep_as_diagnostic
WR2_uncertainty_schedule_fine,WR2_fine_7bc64979,c0.72_ls-30_tw0.90_ep30,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.12, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -30, ""transition_width"": 0.9}}",0.075,0.18651851835368238,0.5015,0.11852533009948706,0.575,0.0,0.075,1.4565438484531694,0.8697123966159338,0.020783373301358914,0.2397918334667734,52.0,-0.001541021157471234,0.23859087269815854,0.4670536429143315,0.11658653846153846,0.0,0.575995436356019,0.0006753358416650146,0.5333503213538163,0.9580748966506607,0.007174172977281785,0.07667603372139703,18.0,-0.024566751134146303,0.07667603372139703,0.4674026495383381,0.11655560016057809,0.0,0.5752233961101064,0.0030651014086774397,0.5362097286144138,True,False,False,1,main_young_incongruent_error_rate_le_0.20,high_incongruent_error,keep_as_diagnostic
WR2_uncertainty_schedule_fine,WR2_fine_3c2a61cc,c0.72_ls-40_tw1.00_ep40,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.38, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 40, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",0.075,0.187993095432133,0.5019897896630685,0.11987472354439152,0.575,0.0,0.075,1.459857608639593,0.8685095158460902,0.01838529176658673,0.244595676541233,46.0,0.0009591586522745832,0.244595676541233,0.4664665065385641,0.12034027221777423,0.0,0.5941866495165306,0.0006994847047528951,0.5242224253403804,0.9574828089772043,0.00996412913511359,0.07507025291047772,25.0,-0.05059503824286604,0.07507025291047772,0.4661849324233909,0.11972501003613008,0.0,0.5918352966611127,0.003168410681369027,0.5340197270171582,False,False,False,2,main_young_incongruent_error_rate_le_0.20,no_congruent_fast_error,report_negative_result
WR2_uncertainty_schedule_fine,WR2_fine_daea6ff7,c0.72_ls-30_tw0.90_ep30,WR2_uncertainty_schedule,none,time_gap_selected,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -30, ""transition_width"": 0.9}}",0.075,0.18172901711974399,0.5137932358921462,0.11576792546040043,0.575,0.0,0.075,1.4612901784722907,0.8711135175126512,0.020783373301358914,0.23698959167333866,52.0,0.0207136057590952,0.23698959167333866,0.4674139311449159,0.11615985576923077,0.0,0.5781396065096114,0.0006888081596452822,0.5254089479844426,0.9606828504497418,0.006775607811877242,0.0718586912886391,17.0,0.026459337809489725,0.07145724608590927,0.4675097015923993,0.11571457246085909,0.0,0.5753788153308916,0.0031229381928232214,0.5356341031731664,False,False,False,3,main_young_incongruent_error_rate_le_0.20,no_congruent_fast_error,report_negative_result
