decision_time_scale,mean_score,maximum_group_score,mean_condition_quantile_mae,mean_condition_mean_mae,mean_condition_gap_abs_error,mean_caf_rmse,mean_incongruent_caf_rmse
0.27,0.1409689695443904,0.2061240372068774,0.023495050625380615,0.0032003164426831964,0.0049046884996287255,0.02297617995433242,0.03564434191874742
0.26,0.14154563904449347,0.20706848542694092,0.023542003259455265,0.002875203237161894,0.0048165463262929776,0.023059362402262223,0.03653240045629542
0.28,0.1445164731982713,0.21430983180439447,0.02302064418554583,0.003641357872763112,0.006791239581292733,0.022973349214755356,0.03631366223108806
0.25,0.14462327325634902,0.2168332114727084,0.023273875486845286,0.003017554649989651,0.005465303667318677,0.023225950718603117,0.038698141590489565
0.29,0.14883546664280578,0.22215838238463265,0.023103829774669245,0.0043484500894724965,0.008696900178944993,0.02292293687006434,0.03590148280660758
0.24,0.1501751117380942,0.2262496453376899,0.02336041164022715,0.0035991855053884897,0.0070681318945262795,0.023327490674803237,0.03933754323370321
0.3,0.1539796518821834,0.22912470178324607,0.023092533676140243,0.005602442670696999,0.010931013259816666,0.022911426785313483,0.03450075357170669
0.23,0.15660168364915591,0.2328550312303726,0.023243737920713454,0.004602306797841841,0.009013175304448293,0.023475067548730546,0.03973818242181227
0.31,0.16021294366063893,0.23628778131460662,0.023193961320438005,0.006754376010513858,0.013508752021027717,0.022881077178904436,0.03353505795174359
0.22,0.163624494744444,0.24139326993581578,0.02327972316439176,0.005602454142438397,0.010958218714370289,0.023536092518303634,0.04037810530524698
0.32,0.16699979411170812,0.24519135542509027,0.023289544176595754,0.008193653656489655,0.016086490782238734,0.022734397886862046,0.032771619773023876
0.21,0.17091427166249076,0.2512550177856455,0.02349519376068811,0.006623629657869549,0.0129032621242923,0.023565288616802314,0.040800576754472274
0.33,0.17324161333722943,0.2520399188041199,0.023378180151811423,0.009441014265361505,0.0186642295434498,0.022662427093328778,0.03166043302899209
0.2,0.17797848536213548,0.2598518793482876,0.023467773987521055,0.007917073941248933,0.014848305534214314,0.023578139400319827,0.041490111452190545
0.34,0.1800396358954979,0.25968626959187013,0.023581834681808245,0.010620984152330395,0.02124196830466079,0.022691600813586142,0.030875202741024895
0.19,0.18666629546474325,0.2680201036525528,0.02372202849031435,0.008726765243362846,0.017424113113504763,0.023757850594631206,0.04237319213682056
0.35,0.187160784761337,0.2687345664490347,0.023863896988120727,0.01190985353293588,0.02381970706587176,0.022568434585949624,0.03015517305927482
0.36,0.19396234261574077,0.2750868486581134,0.02405487495177964,0.013198722913541421,0.026397445827082842,0.02238342624443581,0.02959003921303145
0.18,0.19602033847799274,0.2788227303949182,0.02408798293075574,0.010000925937357916,0.020001851874715832,0.023760436827811763,0.042825853688557736
0.37,0.20121708048096668,0.28292388975528926,0.024412978540173522,0.01448759229414697,0.02897518458829394,0.022416909690326964,0.028780097320547465
0.17,0.20542201072211005,0.28850265162489974,0.024461913612987086,0.01128979531796344,0.02257959063592688,0.02387722375962014,0.04346464515906251
0.38,0.20909622459690638,0.2919741993780409,0.024913951942017173,0.015776461674752447,0.031552923349504894,0.022371950756653786,0.028305182918425303
0.16,0.21521184628488862,0.2992850286252189,0.024858902152023053,0.012578664698568918,0.025157329397137836,0.023982259761343754,0.04412931102909785
0.39,0.21656910898112752,0.29985787264446084,0.02540217008963546,0.01706533105535798,0.03413066211071596,0.02233863130242803,0.0278278037275263
0.4,0.2244972326587543,0.3088790816754948,0.025934782812367767,0.018354200435963475,0.03670840087192695,0.022299843802853634,0.027367215367480484
0.15,0.22489568820294065,0.30915435651330625,0.02529220372861097,0.013867534079174484,0.027735068158348967,0.024047184717981087,0.0448358425954803
