age_group,decision_time_scale,t0_mean,t0_sd,score,condition_quantile_mae,condition_mean_mae,overall_quantile_mae,human_condition_gap,model_condition_gap,condition_gap_abs_error,caf_rmse,incongruent_caf_rmse,human_incongruent_error_minus_correct_rt,model_incongruent_error_minus_correct_rt,error_gap_abs_error
20-29,0.15,0.581,0.0,0.4409223802977129,0.09847917135109252,0.005265171531580959,0.08858333041600037,0.04374684900583592,0.033216505942674,0.010530343063161918,0.06957154590779194,0.10494799780770668,-0.06449539092603063,-0.0233237642045675,0.04117162672146313
20-29,0.15,0.579,0.03,0.29149590175078544,0.07642243739952082,0.005332054837540234,0.0761644777449461,0.04374684900583592,0.03308273933075545,0.010664109675080469,0.017567014544310006,0.01480887261141956,-0.06449539092603063,-0.022079157122684046,0.04241623380334658
20-29,0.15,0.578,0.06,0.222142488275743,0.04861269663067738,0.00539893814349951,0.05093842912164978,0.04374684900583592,0.0329489727188369,0.01079787628699902,0.01885205559083676,0.028325065353354068,-0.06449539092603063,-0.020834550040800703,0.04366084088522992
20-29,0.15,0.574,0.09,0.15353429360558127,0.022354784875370508,0.00707814394202394,0.023944746755906344,0.04374684900583592,0.03281520610691835,0.01093164289891757,0.01924058211177613,0.037351667159179376,-0.06449539092603063,-0.019589942958917472,0.044905447967113155
20-29,0.15,0.58,0.12,0.13976166273831578,0.019026441840547866,0.005532704755418005,0.018455453544265376,0.04374684900583592,0.03268143949499991,0.01106540951083601,0.019641792178922972,0.03826491617164804,-0.06449539092603063,-0.01834533587703413,0.0461500550489965
20-29,0.15,0.576,0.15,0.20394834488912808,0.04038498859879622,0.005599588061377281,0.03773055514772993,0.04374684900583592,0.03254767288308136,0.011199176122754562,0.02005492458225659,0.03996554180225839,-0.06449539092603063,-0.0171007287951509,0.04739466213087973
20-29,0.15,0.576,0.18,0.2896860383349116,0.06845262991371437,0.005666471367336501,0.06598198587056257,0.04374684900583592,0.03241390627116292,0.011332942734673002,0.020760539492026685,0.04034650317826288,-0.06449539092603063,-0.015856121713267557,0.04863926921276307
20-29,0.15,0.577,0.21,0.3754760019395779,0.09678505943023621,0.005733354673295665,0.0940825513865798,0.04374684900583592,0.03228013965924459,0.01146670934659133,0.020760539492026685,0.0407626197774357,-0.06449539092603063,-0.014611514631384326,0.0498838762946463
20-29,0.15,0.572,0.24,0.46123377183409847,0.12308783077615,0.007957919669038582,0.12032082064662697,0.04374684900583592,0.031673063672243096,0.012073785333592824,0.020894975472586695,0.04138913842635023,-0.06449539092603063,-0.011757238630619726,0.0527381522954109
30-39,0.15,0.615,0.0,0.5408810821002178,0.11279167407113092,0.011405260766071068,0.10384165732724764,0.0573742659002322,0.034563744368090066,0.022810521532142136,0.09018647348688158,0.10360356095995531,-0.10704012899392612,-0.026125710710427796,0.08091441828349832
30-39,0.15,0.628,0.03,0.398469622055698,0.09156842568405851,0.0115301518235858,0.09235634463789301,0.0573742659002322,0.034313962253060604,0.0230603036471716,0.02557342370508879,0.026940578042166118,-0.10704012899392612,-0.023826650097909075,0.08321347889601705
30-39,0.15,0.612,0.06,0.34062141099053933,0.06452759346294734,0.011655042881100586,0.06721918311536752,0.0573742659002322,0.03406418013803103,0.02331008576220117,0.026728262195660945,0.052899356916945736,-0.10704012899392612,-0.021527589485390686,0.08551253950853543
