analysis_group,row_index,user_id,congruency,target_label,flanker_label,committed_winner,model_correct,commitment_step,commitment_time_s,pred_rt_s,target_state_at_commitment,strongest_wrong_state_at_commitment,target_minus_wrong_at_commitment,first_meaningful_step,first_meaningful_leader,first_meaningful_leader_wrong,any_wrong_leader_before_commitment,wrong_state_peak_before_commitment,distance_wrong_peak_to_threshold,precommit_reversal_step,precommit_reversal_time_s,trajectory_class,postcommit_target_recovery,postcommit_target_recovery_step,postcommit_recovery_delay_s,early_target_minus_flanker_input,rt_outcome_class,target_state_peak_before_commitment,early_target_evidence,early_flanker_evidence
young_20_29,7658,677,incongruent,0,1,0,True,24,0.24,0.7421750215037208,0.12408237159252167,0.08532910794019699,0.038753263652324677,0,1,True,True,0.1005982831120491,0.019401716887950893,13,0.13,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.13848313689231873,FAST CORRECT,0.12064904719591141,0.3512020409107208,0.48968520760536194
young_20_29,23933,677,incongruent,3,1,3,True,12,0.12,0.7886776247797025,0.1236150711774826,0.09134526550769806,0.032269805669784546,0,3,False,False,0.0995090901851654,0.02049090981483459,-1,,DIRECT CORRECT,False,,,0.494235098361969,FAST CORRECT,0.12070011347532272,0.8541095852851868,0.35987451672554016
young_20_29,124097,5675,congruent,0,0,0,True,3,0.03,0.7417626982906453,0.13413934409618378,0.08575852960348129,0.048380814492702484,0,0,False,False,0.09612545371055603,0.023874546289443965,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12485428899526596,2.0158402919769287,2.0158402919769287
young_20_29,5229,7862,incongruent,2,3,2,True,33,0.33,0.8673788888539327,0.12382778525352478,0.11444131284952164,0.009386472404003143,0,3,True,True,0.11872430890798569,0.0012756910920143083,30,0.3,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.5394595861434937,SLOW CORRECT,0.12139465659856796,0.2629987299442291,0.8024582862854004
young_20_29,4972,5675,congruent,0,0,0,True,4,0.04,0.35859973065195055,0.1310555785894394,0.0849122703075409,0.0461433082818985,0,0,False,False,0.0966174378991127,0.023382562100887294,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12414757162332535,1.6822762489318848,1.6822762489318848
young_20_29,22785,7862,incongruent,1,3,1,True,22,0.22,0.6916344744934088,0.12432795763015747,0.11758830398321152,0.006739653646945953,0,3,True,True,0.11801256984472275,0.0019874301552772478,20,0.2,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.21368937194347382,FAST CORRECT,0.12198147177696228,0.627029538154602,0.8407189249992371
young_20_29,168561,2918,incongruent,1,0,1,True,24,0.24,0.6792660104685962,0.12282266467809677,0.07181794941425323,0.051004715263843536,0,0,True,True,0.10064706951379776,0.019352930486202236,5,0.05,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.1522054374217987,FAST CORRECT,0.1208733320236206,0.5646982192993164,0.4124928116798401
young_20_29,13373,3875,congruent,2,2,2,True,7,0.07,0.7392602846362815,0.12517669796943665,0.0775534063577652,0.04762329161167145,0,2,False,False,0.09644653648138046,0.023553463518619533,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12171801924705505,1.1761620044708252,1.1761620044708252
young_20_29,83570,2918,incongruent,1,0,1,True,36,0.36,0.5430731689408901,0.12419971078634262,0.06448636204004288,0.059713348746299744,0,0,True,True,0.09977703541517258,0.02022296458482742,13,0.13,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.19116370379924774,FAST CORRECT,0.12191398441791534,0.13349856436252594,0.3246622681617737
young_20_29,5214,1478,incongruent,0,1,0,True,10,0.1,0.5260620025194888,0.12617185711860657,0.09683435410261154,0.029337503015995026,0,1,True,True,0.10178729146718979,0.018212708532810207,1,0.01,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.4928923547267914,FAST CORRECT,0.12172680348157883,0.9744136929512024,0.4815213084220886
