scope,n_trials,error_rate,p_any_wrong_leader_before_commitment,p_first_meaningful_leader_wrong,pC_pre_correct_commitment_given_early_wrong,mean_wrong_state_peak_before_commitment,median_distance_wrong_peak_to_threshold,mean_target_minus_wrong_at_commitment,mean_commitment_time_s,mean_precommit_reversal_time_s,postcommit_recovery_rate_given_wrong_commitment,mean_postcommit_recovery_delay_s,mean_early_target_minus_flanker_input,direct_correct_proportion,wrong_entry_precommit_corrected_proportion,wrong_commitment_error_proportion
congruent,5011,0.0,0.0,0.0,,0.09646299929675692,0.04284499526023866,0.06054453405315018,0.06231091598483337,,,,0.0,1.0,0.0,0.0
incongruent,4989,0.05993185007015434,0.9689316496291842,0.9689316496291842,0.9381464625568887,0.11011231031457751,0.019762466549873348,0.04128764677732305,0.3252435357787131,0.19767144432194048,1.0,0.17210702341137127,-0.3402699545348931,0.031068350370815796,0.9089997995590299,0.05993185007015434
FAST ERROR,252,1.0,1.0,1.0,0.0,0.12554287472887646,-0.0007385303080081895,-0.029254711602651882,0.12214285714285715,,1.0,0.16765873015873015,-0.6683451296199882,0.0,0.0,1.0
FAST CORRECT,2243,0.0,0.9313419527418636,0.9313419527418636,1.0,0.10570648796208672,0.01808915555477142,0.03653351383261313,0.2732055283102987,0.15749162278602202,,,-0.16573928578842673,0.06865804725813643,0.9313419527418636,0.0
SLOW CORRECT,2447,0.0,0.9995913363302003,0.9995913363302003,1.0,0.11199688245848728,0.02623541593551637,0.054562784774015036,0.39708214139762976,0.2319869174161897,,,-0.4555330947974452,0.0004086636697997548,0.9995913363302003,0.0
