source,condition,scope,n_participants,n_trials,mean_s,median_s,sd_s,skewness,q10_s,q25_s,q50_s,q75_s,q90_s,q95_s,q99_s,q95_over_q50,upper_lower_spread_ratio,wasserstein_c0v2_to_matched_human_s,c0v2_to_human_sd_ratio,c0v2_to_human_q95_q10_width_ratio
matched_human,congruent,participant_balanced_primary,16,4941,0.6701462547806651,0.6409687511622906,0.14195822678441022,2.758630895387318,0.554112495854497,0.5914375022985041,0.6409687511622906,0.7161874966695905,0.804712499305606,0.8804406298324465,1.1120418806001542,1.3614115841863517,2.63615594190923,0.12264416352939614,0.9493173615441464,1.1992681709698418
matched_human,congruent,pooled_trials_secondary,16,4941,0.7419560814683096,0.6809999942779541,0.29665062693664124,6.558675506767754,0.492000013589859,0.5600000023841858,0.6809999942779541,0.8410000205039978,1.055999994277954,1.2000000476837158,1.600000023841858,1.7621146222710964,2.746032309189823,0.12264416352939614,0.6646417470262784,0.8366521329059583
matched_human,incongruent,participant_balanced_primary,16,4684,0.7349093283727779,0.7077500019222498,0.1627753000591148,2.625796304914087,0.595425003953278,0.6412968770600855,0.7077500019222498,0.7889531189575791,0.8985000062733889,0.9713312493637203,1.2541299910098327,1.357672641631368,2.2495192240749824,0.10690578770357848,1.0039180201424105,1.2685593466550575
matched_human,incongruent,pooled_trials_secondary,16,4684,0.8154427840586761,0.7559999823570251,0.3159950663610174,4.659521540927431,0.5263000190258026,0.6100000143051147,0.7559999823570251,0.9589999914169312,1.1576999783515929,1.2848499774932856,1.6628499603271487,1.699537046928803,2.302351238836158,0.10690578770357848,0.7737214334253913,0.9552988170042479
C0v2,congruent,participant_balanced_primary,16,5011,0.5569130550306437,0.5550394634645663,0.13476340930046188,-0.08448730456009887,0.3861120604314328,0.46981373738119314,0.5550394634645663,0.647847752169757,0.7303165626183818,0.7774670048031699,0.8493453267284256,1.4040181982717348,1.3416124734468733,0.12264416352939614,0.9493173615441464,1.1992681709698418
C0v2,congruent,pooled_trials_secondary,16,5011,0.6193242516678269,0.5999989277472274,0.19716639094361,0.37315213666012537,0.3806076684147356,0.4720476977689777,0.5999989277472274,0.7532686990664822,0.8987838461170761,0.9729574070368521,1.090919337912852,1.621598576334036,1.6999696360938368,0.12264416352939614,0.6646417470262784,0.8366521329059583
C0v2,incongruent,participant_balanced_primary,16,4690,0.8083613254907265,0.8063379353476028,0.16341305696343333,0.08816140064317074,0.5980105040802393,0.700746749896922,0.8063379353476028,0.91654618587155,1.0213417025807614,1.0748698851616656,1.1808766285082448,1.3363546096271186,1.294252106298343,0.10690578770357848,1.0039180201424105,1.2685593466550575
C0v2,incongruent,pooled_trials_secondary,16,4690,0.8982187727565747,0.8779653447726419,0.24449215570019803,0.3049951653841542,0.5989772928325356,0.7139698880432537,0.8779653447726419,1.070711118055005,1.2382405249890942,1.3236191707951435,1.4731730728995482,1.5075984247851015,1.597393949036124,0.10690578770357848,0.7737214334253913,0.9552988170042479
