age_group,user_id,selected_scale,time_steps,epochs,choice_temperature,n_train,n_test,pred_skewness,true_skewness,skewness_gap,skewness_ratio,model_accuracy,human_accuracy,accuracy_gap,model_has_errors,human_has_errors,model_error_minus_correct_rt,human_error_minus_correct_rt,model_slow_error,human_slow_error,error_direction_match,total_score,rt_shape_score,behavior_optimal_score,skew_present,nondegenerate_accuracy,subject_feasible
20-29,3875,0.5,103,8,0.05,8000,2000,0.5652641654014587,0.8487126231193542,-0.2834484577178955,0.6660254013000179,1.0,0.9395,0.0605,False,True,,-0.04146808385848999,False,False,False,0.6692674160003662,0.7154818773269653,0.6911296844482422,True,False,False
20-29,5675,0.5,77,8,0.05,8000,2000,-0.64511638879776,2.1572206020355225,-2.8023369908332825,-0.2990497996306161,1.0,0.966,0.03400000000000003,False,True,,-0.022307395935058594,False,False,False,0.544823169708252,0.42348289489746094,0.5894314050674438,False,True,False
20-29,677,0.30000001192092896,100,8,0.05,8000,2000,0.6350741982460022,21.774171829223633,-21.13909763097763,0.029166399678799908,1.0,0.9455,0.05449999999999999,False,True,,-0.04939943552017212,False,False,False,0.520280122756958,0.402416855096817,0.5615589022636414,True,False,False
80-89,3403,0.10000000149011612,143,8,0.05,8000,2000,-2.5456957817077637,2.2375285625457764,-4.78322434425354,-1.1377266079729351,0.9925,0.9765,0.016000000000000014,True,True,0.08038783073425293,-0.020576179027557373,True,False,False,0.60759037733078,0.3793163597583771,0.6654801368713379,False,True,False
80-89,6609,0.10000000149011612,247,8,0.05,8000,2000,0.42246460914611816,7.349288463592529,-6.926823854446411,0.057483742982597,0.998,0.996,0.0020000000000000018,True,True,1.0338528156280518,-0.16578364372253418,True,False,False,0.49531298875808716,0.306375116109848,0.5526495575904846,False,True,False
80-89,984,0.30000001192092896,173,8,0.05,8000,2000,0.6228615641593933,4.0866618156433105,-3.4638002514839172,0.15241328797385312,1.0,0.966,0.03400000000000003,False,True,,-0.18229472637176514,False,False,False,0.5738130211830139,0.3510691821575165,0.6306818723678589,True,True,False
