candidate_id,seed_id,scheme,distribution_score,error_rate_score,joint_score,rank
current__factorial_gap_gate,0,raw,0.1243218798920295,0.02299819705705644,0.14732007694908594,1.0
current__factorial_gap_gate,0,presentation_floor_60hz,0.1242880901402502,0.02299819705705644,0.14728628719730663,1.0
current__factorial_gap_gate,0,combined_60hz_125hz,0.12450341794717643,0.02299819705705644,0.14750161500423287,1.0
current__factorial_gap_gate,1,raw,0.12293042179758362,0.022729185821320025,0.14565960761890365,1.0
current__factorial_gap_gate,1,presentation_floor_60hz,0.12284491512067211,0.022729185821320025,0.14557410094199214,1.0
current__factorial_gap_gate,1,combined_60hz_125hz,0.1230936624522501,0.022729185821320025,0.14582284827357012,1.0
current__factorial_gap_gate,2,raw,0.12279415582503816,0.01818130176636018,0.14097545759139835,1.0
current__factorial_gap_gate,2,presentation_floor_60hz,0.1226537267867713,0.01818130176636018,0.14083502855313149,1.0
current__factorial_gap_gate,2,combined_60hz_125hz,0.12285756872583056,0.01818130176636018,0.14103887049219074,1.0
current__factorial_gap_gate,3,raw,0.12483333720292901,0.02045614667276921,0.14528948387569823,1.0
current__factorial_gap_gate,3,presentation_floor_60hz,0.12472095559271928,0.02045614667276921,0.1451771022654885,1.0
current__factorial_gap_gate,3,combined_60hz_125hz,0.12498489799180432,0.02045614667276921,0.14544104466457353,1.0
current__factorial_gap_gate,4,raw,0.12286999838108117,0.018322462857806893,0.14119246123888807,1.0
current__factorial_gap_gate,4,presentation_floor_60hz,0.12276143314136485,0.018322462857806893,0.14108389599917176,1.0
current__factorial_gap_gate,4,combined_60hz_125hz,0.1229853749402757,0.018322462857806893,0.1413078377980826,1.0
current__factorial_gap_gate,5,raw,0.12350381885880005,0.02126442807276338,0.14476824693156343,1.0
current__factorial_gap_gate,5,presentation_floor_60hz,0.12337920881620824,0.02126442807276338,0.14464363688897164,1.0
current__factorial_gap_gate,5,combined_60hz_125hz,0.12375272495946933,0.02126442807276338,0.14501715303223273,1.0
current__factorial_gap_gate,6,raw,0.12379743781591707,0.022192211353295493,0.14598964916921256,1.0
