candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,raw,2,older_80_89,0,correct,2484,2480,0.8230000138282776,0.8061838100155757,0.08042744991231897
current_evidence__saved_gate_execution,raw,2,older_80_89,0,error,25,29,0.6899999976158142,0.7241990844297047,0.14100887260078268
current_evidence__saved_gate_execution,raw,2,older_80_89,1,all,2491,2491,0.9330000281333924,1.1128950587722597,0.16628542381637537
current_evidence__saved_gate_execution,raw,2,older_80_89,1,correct,2394,2329,0.9404999911785126,1.1214305693366928,0.16898729800230702
current_evidence__saved_gate_execution,raw,2,older_80_89,1,error,97,162,0.7599999904632568,0.9684767497542073,0.20327645488560614
current_evidence__saved_gate_execution,raw,3,young_20_29,0,all,2502,2502,0.5600000023841858,0.5860725975768846,0.035701550525760115
current_evidence__saved_gate_execution,raw,3,young_20_29,0,correct,2457,2447,0.5609999895095825,0.5869092678111323,0.03606413884146459
current_evidence__saved_gate_execution,raw,3,young_20_29,0,error,45,55,0.5450000166893005,0.5491098433480917,0.026346881244739946
current_evidence__saved_gate_execution,raw,3,young_20_29,1,all,2498,2498,0.6039999723434448,0.8295067320700776,0.20980837619018733
current_evidence__saved_gate_execution,raw,3,young_20_29,1,correct,2290,2156,0.609000027179718,0.8530057936484153,0.22721536880356505
current_evidence__saved_gate_execution,raw,3,young_20_29,1,error,208,342,0.5509999990463257,0.683289310908703,0.13085581532765228
current_evidence__saved_gate_execution,raw,3,older_80_89,0,all,2509,2509,0.8230000138282776,0.8077325284295656,0.07779853640459991
current_evidence__saved_gate_execution,raw,3,older_80_89,0,correct,2484,2482,0.8230000138282776,0.8087470877976293,0.08034279618901949
current_evidence__saved_gate_execution,raw,3,older_80_89,0,error,25,27,0.6899999976158142,0.7431549510362166,0.18254050827068127
current_evidence__saved_gate_execution,raw,3,older_80_89,1,all,2491,2491,0.9330000281333924,1.113357099696355,0.16841085881664886
current_evidence__saved_gate_execution,raw,3,older_80_89,1,correct,2394,2331,0.9404999911785126,1.1230309788683912,0.17296633229645048
current_evidence__saved_gate_execution,raw,3,older_80_89,1,error,97,160,0.7599999904632568,0.9603492986595419,0.17343416228422529
current_evidence__saved_gate_execution,raw,4,young_20_29,0,all,2502,2502,0.5600000023841858,0.5918886741130316,0.03557380727194432
current_evidence__saved_gate_execution,raw,4,young_20_29,0,correct,2457,2463,0.5609999895095825,0.5913745569128295,0.03525238311296369
current_evidence__saved_gate_execution,raw,4,young_20_29,0,error,45,39,0.5450000166893005,0.6275872821990565,0.08291131770968553
current_evidence__saved_gate_execution,raw,4,young_20_29,1,all,2498,2498,0.6039999723434448,0.8274875975471493,0.20809429357171222
current_evidence__saved_gate_execution,raw,4,young_20_29,1,correct,2290,2163,0.609000027179718,0.8501017743443264,0.2264068300676047
current_evidence__saved_gate_execution,raw,4,young_20_29,1,error,208,335,0.5509999990463257,0.666880740356582,0.11911260637295498
current_evidence__saved_gate_execution,raw,4,older_80_89,0,all,2509,2509,0.8230000138282776,0.8090980929190715,0.07794017271569294
current_evidence__saved_gate_execution,raw,4,older_80_89,0,correct,2484,2484,0.8230000138282776,0.8071023307327982,0.08149626915477304
current_evidence__saved_gate_execution,raw,4,older_80_89,0,error,25,25,0.6899999976158142,0.9063877483125552,0.2803236623876285
current_evidence__saved_gate_execution,raw,4,older_80_89,1,all,2491,2491,0.9330000281333924,1.1185509562505105,0.16717335631327399
