candidate_id,seed_id,analysis_group,congruency,n_subjects,n_human_trials,n_human_errors,n_model_errors,human_error_rate,model_error_rate,human_median_rt,model_median_rt,wasserstein_all_s,wasserstein_correct_s,wasserstein_error_s,estimability
current__factorial_gap_gate,0,young_20_29,0,12,1874,32,36,0.015306845167956282,0.02062319425098814,0.5725416666666666,0.5870667930803213,0.034753345495506835,0.03518573342220557,0.02709864088447311,ESTIMABLE
current__factorial_gap_gate,0,young_20_29,1,12,1870,136,261,0.07327093606478158,0.13303421598852083,0.6257499999999999,0.8315482904243212,0.2127502811206566,0.23232107357607173,0.12423212921841353,ESTIMABLE
current__factorial_gap_gate,0,older_80_89,0,4,1883,19,15,0.01011926280264358,0.007755986367670803,0.8423749999999999,0.804208573660173,0.08451710991604025,0.08758969198001706,0.21739208398276486,ESTIMABLE
current__factorial_gap_gate,0,older_80_89,1,4,1867,76,115,0.04088812742228673,0.061412874286012775,0.926375,1.1208469831922572,0.16526678434181208,0.16731976351811556,0.19987595854272738,ESTIMABLE
current__factorial_gap_gate,1,young_20_29,0,12,1874,32,43,0.015306845167956282,0.026461332367388606,0.5725416666666666,0.5835561211857906,0.03581744983753508,0.03628265946126971,0.033418003257704616,ESTIMABLE
current__factorial_gap_gate,1,young_20_29,1,12,1870,136,245,0.07327093606478158,0.12037997826196296,0.6257499999999999,0.8317374139731425,0.21236963746674936,0.22993850189352807,0.12571490315864356,ESTIMABLE
current__factorial_gap_gate,1,older_80_89,0,4,1883,19,14,0.01011926280264358,0.0073621912430778536,0.8423749999999999,0.8086001080462994,0.07953547586292613,0.08303714185804684,0.2851129830766268,ESTIMABLE
current__factorial_gap_gate,1,older_80_89,1,4,1867,76,121,0.04088812742228673,0.064579144768935,0.926375,1.1122616557315077,0.16399912469545136,0.16672204086514023,0.18535084065549068,ESTIMABLE
current__factorial_gap_gate,2,young_20_29,0,12,1874,32,33,0.015306845167956282,0.021746563596948515,0.5725416666666666,0.5820252018743283,0.033497552804322914,0.033987985115987406,0.02586169226002992,ESTIMABLE
current__factorial_gap_gate,2,young_20_29,1,12,1870,136,235,0.07327093606478158,0.11467849175174692,0.6257499999999999,0.8368450895105267,0.21303645278471176,0.23166396808191794,0.11147839924006465,ESTIMABLE
current__factorial_gap_gate,2,older_80_89,0,4,1883,19,12,0.01011926280264358,0.006390373026916779,0.8423749999999999,0.8119245118562443,0.08030908467981461,0.08355145961583565,0.25213703574338314,ESTIMABLE
current__factorial_gap_gate,2,older_80_89,1,4,1867,76,105,0.04088812742228673,0.05572418903826401,0.926375,1.1150917965909521,0.16433353395745276,0.1641592849480233,0.21552824048718747,ESTIMABLE
current__factorial_gap_gate,3,young_20_29,0,12,1874,32,34,0.015306845167956282,0.018940700213700933,0.5725416666666666,0.5839468419094446,0.03362092691780894,0.03396489829646923,0.042528211893747794,ESTIMABLE
current__factorial_gap_gate,3,young_20_29,1,12,1870,136,261,0.07327093606478158,0.12912328964710393,0.6257499999999999,0.8302417408492647,0.2126742608107577,0.23244893235163833,0.1220530694938248,ESTIMABLE
current__factorial_gap_gate,3,older_80_89,0,4,1883,19,16,0.01011926280264358,0.008497536361382119,0.8423749999999999,0.7962356152486245,0.08525328462062834,0.08856802754089599,0.2531557272367998,ESTIMABLE
current__factorial_gap_gate,3,older_80_89,1,4,1867,76,99,0.04088812742228673,0.053569083659013444,0.926375,1.1056686130139757,0.16778487788613866,0.16775624451918852,0.2188470002605074,ESTIMABLE
current__factorial_gap_gate,4,young_20_29,0,12,1874,32,33,0.015306845167956282,0.017473432177816745,0.5725416666666666,0.5845051721171136,0.034991749999281056,0.03546144379804869,0.03507207708321044,ESTIMABLE
current__factorial_gap_gate,4,young_20_29,1,12,1870,136,233,0.07327093606478158,0.12032302548535086,0.6257499999999999,0.8335406329231901,0.21158797127556722,0.2298303776296488,0.11324700612617031,ESTIMABLE
current__factorial_gap_gate,4,older_80_89,0,4,1883,19,20,0.01011926280264358,0.010400546273042072,0.8423749999999999,0.8089360170258343,0.08065253856415117,0.08367102077680552,0.22121036440002392,ESTIMABLE
current__factorial_gap_gate,4,older_80_89,1,4,1867,76,114,0.04088812742228673,0.060454270965460494,0.926375,1.1124314083435278,0.164247734848869,0.1640475386651642,0.22865805729919753,ESTIMABLE
current__factorial_gap_gate,5,young_20_29,0,12,1874,32,34,0.015306845167956282,0.014118490987542698,0.5725416666666666,0.5835271764058209,0.034497751461229145,0.03458060093128086,0.03704939713715388,ESTIMABLE
current__factorial_gap_gate,5,young_20_29,1,12,1870,136,249,0.07327093606478158,0.1255787019341183,0.6257499999999999,0.8332328548653388,0.2117123947727556,0.23016227620028396,0.12186294513924265,ESTIMABLE
current__factorial_gap_gate,5,older_80_89,0,4,1883,19,20,0.01011926280264358,0.010063103741469237,0.8423749999999999,0.8030200464028292,0.08202281191603547,0.08521641832406876,0.23952085166523499,ESTIMABLE
current__factorial_gap_gate,5,older_80_89,1,4,1867,76,119,0.04088812742228673,0.06430635947669447,0.926375,1.1157413536776382,0.16578231840755508,0.16833260740232334,0.19293612570976365,ESTIMABLE
current__factorial_gap_gate,6,young_20_29,0,12,1874,32,40,0.015306845167956282,0.02292937794555495,0.5725416666666666,0.5845870726642476,0.034110960904989905,0.034445042316040314,0.03997487555146773,ESTIMABLE
current__factorial_gap_gate,6,young_20_29,1,12,1870,136,253,0.07327093606478158,0.13164380646858145,0.6257499999999999,0.8347162944823966,0.21291953452453838,0.2313023290766098,0.12605028487871173,ESTIMABLE
current__factorial_gap_gate,6,older_80_89,0,4,1883,19,13,0.01011926280264358,0.006874865490367366,0.8423749999999999,0.8094277685580024,0.08153541104860113,0.08408932237406395,0.1719039289436291,ESTIMABLE
