source,n,mean_rt,median_rt,std_rt,skewness,q05,q25,q50,q75,q95,q95_minus_q50,error_minus_correct_rt,congruency_gap_incongruent_minus_congruent,target_accuracy,response_agreement
human,1024,0.6103222643214394,0.6000000238418579,0.08918939246462544,0.5844783853738253,0.5211500257253647,0.5637500137090683,0.6000000238418579,0.640999972820282,0.75,0.1499999761581421,-0.03782785226163854,-0.039042525657797866,0.8681640625,
model,1024,0.45313974091550335,0.43723131716251373,0.11380121750866626,0.8077518968072519,0.2975477188825607,0.36534061282873154,0.43723131716251373,0.5212118923664093,0.6725624442100524,0.23533112704753867,-0.017621864156189326,-0.046517004821789665,0.8232421875,0.734375
