analysis_group,age_group,distribution,n,mean,sd,median,skewness,kurtosis,q10,q90,q95
older_80_89,Older,human_final_rt,5000,0.9409453997939825,0.33298948601099254,0.8790000081062317,6.853386305715549,97.85427834185548,0.6818999826908112,1.2319999933242798,1.3790499508380891
older_80_89,Older,r5_final_rt,5000,0.9224277839062106,0.27534105891468624,0.888971043744427,0.7588713975341732,0.8108942520249363,0.60868434695225,1.2899275399831438,1.4690113023103228
older_80_89,Older,ww_hard_decision_time,5000,0.174104,0.194617091609317,0.09,2.2007968132621265,3.5383765242314453,0.06,0.52,0.72
older_80_89,Older,non_decision_time,5000,0.7483237839062106,0.19409395195887674,0.7485579070168062,-0.015214981639750332,-0.22736332405704118,0.49579852117373735,1.0016117891180734,1.0689922428521936
older_80_89,Older,canonical_ddm_final_rt,5000,1.3536524,0.3824994451490719,1.249,0.9385120561715533,-0.03549019588082247,0.954,1.9922000000000006,2.25
young_20_29,Young,human_final_rt,5000,0.6030129999697208,0.1401926770912389,0.5799999833106995,4.161003349532638,52.27063752217561,0.47200000286102295,0.746999979019165,0.8259999752044678
young_20_29,Young,r5_final_rt,5000,0.6142159168507902,0.13965516188193372,0.6075720473916324,0.967073630206513,4.298162554330716,0.450431264979576,0.7760912630847884,0.8284632811539189
young_20_29,Young,ww_hard_decision_time,5000,0.06386800000000001,0.06826427014270074,0.05,6.9413573006405285,60.09154698363982,0.03,0.1,0.13
young_20_29,Young,non_decision_time,5000,0.5503479168507903,0.1206110842914327,0.5486319996746393,-0.01181043841183239,-0.24086898555683067,0.3977151968141488,0.7096634288627762,0.7503053762771592
young_20_29,Young,canonical_ddm_final_rt,5000,1.160312,0.3824932816117109,1.057,0.9048851748805289,-0.08674589236409114,0.7530000000000001,1.7861000000000005,2.05
