analysis_group,age_group,time_label,time_s,mean,sd,skewness,kurtosis,q10,q50,q90
older_80_89,Older,early,0.08,0.09017814695835114,0.028907980769872665,1.3788721524075056,0.6656673259194195,0.06897998079657555,0.07507816702127457,0.1403427690267563
older_80_89,Older,middle,0.4,0.12450248748064041,0.17587783932685852,2.2246478255090563,3.6296663506865867,0.02563065979629755,0.046220606192946434,0.4607366412878044
older_80_89,Older,late,0.71,0.138194277882576,0.21772386133670807,1.976869750686182,2.2312207481640396,0.015707025676965712,0.044244492426514626,0.6698203027248383
young_20_29,Young,early,0.08,0.09016440063714981,0.028852026909589767,1.3786020549582778,0.6943752428599468,0.06899605840444564,0.07505178824067116,0.1397987946867943
young_20_29,Young,middle,0.4,0.12412722408771515,0.17472673952579498,2.2308325717836626,3.682768174958868,0.02586090825498104,0.04608818702399731,0.4544624358415605
young_20_29,Young,late,0.71,0.13807788491249084,0.21735410392284393,1.9793831385256715,2.2465834495879617,0.01572285182774067,0.04427262954413891,0.6680231988430023
