condition_id,previous_outcome,n,error_match,error_nonmatch,alignment_effect_nonmatch_minus_match,response_repetition,error_response_repetition,conditional_chance
B0,correct,2928,0.02204928664072633,0.027816411682892908,0.005767125042166577,0.26400273224043713,0.24675324675324675,0.2597402597402597
B0,error,80,0.0,0.01694915254237288,0.01694915254237288,0.275,1.0,0.3333333333333333
B1_01,correct,2929,0.02080624187256177,0.027777777777777776,0.006971535905216007,0.26425401160805734,0.27631578947368424,0.26315789473684204
B1_01,error,79,0.0,0.017241379310344827,0.017241379310344827,0.27848101265822783,1.0,0.3333333333333333
B1_05,correct,2924,0.0196078431372549,0.030106530801296896,0.010498687664041995,0.2667578659370725,0.375,0.2708333333333333
B1_05,error,84,0.0,0.03278688524590164,0.03278688524590164,0.2857142857142857,0.5,0.3333333333333333
B1_09,correct,2923,0.017015706806282723,0.03195924038906901,0.01494353358278629,0.2702702702702703,0.47560975609756095,0.28048780487804875
B1_09,error,85,0.0,0.03278688524590164,0.03278688524590164,0.29411764705882354,0.5,0.3333333333333333
B1_13,correct,2929,0.02080624187256177,0.027777777777777776,0.006971535905216007,0.26425401160805734,0.27631578947368424,0.26315789473684204
B1_13,error,79,0.0,0.017241379310344827,0.017241379310344827,0.27848101265822783,1.0,0.3333333333333333
B1_17,correct,2924,0.0196078431372549,0.030106530801296896,0.010498687664041995,0.2667578659370725,0.375,0.2708333333333333
B1_17,error,84,0.0,0.03278688524590164,0.03278688524590164,0.2857142857142857,0.5,0.3333333333333333
B1_21,correct,2924,0.017015706806282723,0.03194444444444444,0.014928737638161719,0.2701778385772914,0.47560975609756095,0.28048780487804875
B1_21,error,84,0.0,0.016666666666666666,0.016666666666666666,0.2857142857142857,0.0,0.3333333333333333
B1_25,correct,2928,0.02204928664072633,0.027816411682892908,0.005767125042166577,0.26400273224043713,0.24675324675324675,0.2597402597402597
B1_25,error,80,0.0,0.01694915254237288,0.01694915254237288,0.275,1.0,0.3333333333333333
B1_29,correct,2928,0.02204928664072633,0.027816411682892908,0.005767125042166577,0.26400273224043713,0.24675324675324675,0.2597402597402597
B1_29,error,80,0.0,0.01694915254237288,0.01694915254237288,0.275,1.0,0.3333333333333333
