test,choice_before,choice_after,step_before,step_after,current_unchanged,next_initial_changed,uses_human_history,uses_future_trials
post_outcome_update_cannot_change_current_trial,0,0,33,33,True,True,False,False
reset_blocks_unknown_history,0,0,33,33,True,False,False,False
