null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,25,C_to_C,0.0003889714694811484
participant_current_condition_only,25,I_to_C,0.0008841807175873922
participant_current_condition_only,25,C_to_I,0.0013814131844739935
participant_current_condition_only,25,I_to_I,0.0020918646664315516
participant_current_condition_only,26,C_to_C,0.0007915341613307915
participant_current_condition_only,26,I_to_C,0.000601671610491995
participant_current_condition_only,26,C_to_I,0.0005884243600719915
participant_current_condition_only,26,I_to_I,0.00014985553535206512
participant_current_condition_only,27,C_to_C,0.0014508784348009262
participant_current_condition_only,27,I_to_C,0.001107438406425289
participant_current_condition_only,27,C_to_I,0.0026037654888703566
participant_current_condition_only,27,I_to_I,0.0016280851846646874
participant_current_condition_only,28,C_to_C,0.00018554454361147018
participant_current_condition_only,28,I_to_C,0.000978170108809098
participant_current_condition_only,28,C_to_I,0.004902625614358826
participant_current_condition_only,28,I_to_I,0.001594206795515998
participant_current_condition_only,29,C_to_C,0.0014699207317778566
participant_current_condition_only,29,I_to_C,0.0003688833350131403
participant_current_condition_only,29,C_to_I,0.0013534353295110138
participant_current_condition_only,29,I_to_I,0.004228887818682346
participant_current_condition_only,30,C_to_C,0.0001265459023008413
participant_current_condition_only,30,I_to_C,0.0007754278312969623
participant_current_condition_only,30,C_to_I,0.00418814397437065
participant_current_condition_only,30,I_to_I,0.001206423816510004
participant_current_condition_only,31,C_to_C,0.0004325489762780932
participant_current_condition_only,31,I_to_C,0.00034560473759844966
participant_current_condition_only,31,C_to_I,0.003942514021371453
participant_current_condition_only,31,I_to_I,0.0031913938250646857
participant_current_condition_only,32,C_to_C,0.0005528538377154528
participant_current_condition_only,32,I_to_C,0.0010688094672514034
participant_current_condition_only,32,C_to_I,0.005135448281233162
participant_current_condition_only,32,I_to_I,0.0027074099921435197
participant_current_condition_only,33,C_to_C,0.0007649403214440304
participant_current_condition_only,33,I_to_C,0.001509956198295536
participant_current_condition_only,33,C_to_I,0.004244328148733843
participant_current_condition_only,33,I_to_I,0.0035543801770478913
participant_current_condition_only,34,C_to_C,0.0014864969333506248
participant_current_condition_only,34,I_to_C,0.00032415272164748534
participant_current_condition_only,34,C_to_I,0.003944535581813294
participant_current_condition_only,34,I_to_I,0.003328115659512035
participant_current_condition_only,35,C_to_C,0.0018328449733822617
participant_current_condition_only,35,I_to_C,0.0019092808381920112
