record_type,fold,model,user_id,n_trials,n_errors,log_loss,brier_score,observed_error_rate,mean_predicted_error_rate,calibration_in_the_large,expected_calibration_error,delta_log_loss_vs_m0,delta_brier_vs_m0,delta_log_loss_ci_low,delta_log_loss_ci_high,delta_brier_ci_low,delta_brier_ci_high,proportion_participants_improved_log_loss
fold,0,M0_participant_current_condition,all,628692,30583,0.179242960372342,0.04483043883913413,0.04864544164710224,0.04808301678371152,-0.0005624248633907189,0.004181056705468275,0.0,0.0,,,,,
fold,0,M1_plus_generic_previous_error,all,628692,30583,0.17849431237389865,0.044753469550256816,0.04864544164710224,0.04804980395207477,-0.0005956376950274692,0.004464274796961101,-0.000748647998443347,-7.696928887731408e-05,,,,,
fold,0,M2_plus_previous_condition_history,all,628692,30583,0.17846030877441263,0.044751233017394296,0.04864544164710224,0.04804875341847167,-0.0005966882286305708,0.003819721419274449,-0.000782651597929368,-7.920582173983476e-05,,,,,
fold,0,M3_full_three_way_interaction,all,628692,30583,0.17824296397590567,0.04473246883072171,0.04864544164710224,0.048047859712762264,-0.0005975819343399733,0.0033006601654478026,-0.0009999963964363312,-9.797000841241937e-05,,,,,
fold,1,M0_participant_current_condition,all,628665,31039,0.17980816378547468,0.04523126082956689,0.04937287744665283,0.04799628510327503,-0.0013765923433778013,0.0027718381394840684,0.0,0.0,,,,,
fold,1,M1_plus_generic_previous_error,all,628665,31039,0.17924688390632748,0.04520279737244392,0.04937287744665283,0.04803694932157651,-0.0013359281250763175,0.002979420221393928,-0.0005612798791471973,-2.8463457122970826e-05,,,,,
fold,1,M2_plus_previous_condition_history,all,628665,31039,0.17920551484472302,0.045196974445486614,0.04937287744665283,0.04802671208919309,-0.0013461653574597388,0.0027680471226077807,-0.0006026489407516544,-3.4286384080275956e-05,,,,,
fold,1,M3_full_three_way_interaction,all,628665,31039,0.17896794016944664,0.045166782184361105,0.04937287744665283,0.04800596616010367,-0.0013669112865491578,0.002977056283201965,-0.0008402236160280352,-6.447864520578439e-05,,,,,
fold,2,M0_participant_current_condition,all,628662,29963,0.17510178577660576,0.0438172286942985,0.047661541496066245,0.048320742973260555,0.00065920147719431,0.0036701156709442297,0.0,0.0,,,,,
fold,2,M1_plus_generic_previous_error,all,628662,29963,0.17471685977768767,0.043800142719131165,0.047661541496066245,0.04828443287217013,0.0006228913761038846,0.004159369159834653,-0.0003849259989180953,-1.7085975167335787e-05,,,,,
fold,2,M2_plus_previous_condition_history,all,628662,29963,0.17468614033482063,0.04379444556784735,0.047661541496066245,0.04828270864725868,0.0006211671511924324,0.0037133866823896283,-0.0004156454417851285,-2.2783126451153546e-05,,,,,
fold,2,M3_full_three_way_interaction,all,628662,29963,0.17454951975532706,0.0437744957415704,0.047661541496066245,0.04828511776134872,0.0006235762652824772,0.003245921756774175,-0.0005522660212786967,-4.273295272810146e-05,,,,,
fold,3,M0_participant_current_condition,all,628665,30490,0.1776836818111358,0.044559083747018745,0.048499598355244845,0.04822268487989589,-0.00027691347534895827,0.002138207693710815,0.0,0.0,,,,,
fold,3,M1_plus_generic_previous_error,all,628665,30490,0.17726960008913992,0.04454825131362389,0.048499598355244845,0.04823499282070627,-0.0002646055345385742,0.002826054867770981,-0.00041408172199589033,-1.083243339485701e-05,,,,,
fold,3,M2_plus_previous_condition_history,all,628665,30490,0.1772658864667249,0.04455125419503649,0.048499598355244845,0.04823853074181463,-0.0002610676134302131,0.0025270469319022297,-0.00041779534441091504,-7.829551982252436e-06,,,,,
fold,3,M3_full_three_way_interaction,all,628665,30490,0.177085199127448,0.044519320033923025,0.048499598355244845,0.048243457387126355,-0.0002561409681184901,0.0024265053905969587,-0.0005984826836878121,-3.976371309571958e-05,,,,,
fold,4,M0_participant_current_condition,all,628635,29508,0.1739387640690747,0.0433247469885417,0.04693979813405235,0.04848507266061313,0.0015452745265607803,0.004151802657297327,0.0,0.0,,,,,
fold,4,M1_plus_generic_previous_error,all,628635,29508,0.17345052620828252,0.04330443977563623,0.04693979813405235,0.04843681813008107,0.00149701999602872,0.0041508018198010855,-0.00048823786079216225,-2.030721290546822e-05,,,,,
fold,4,M2_plus_previous_condition_history,all,628635,29508,0.17344885825598033,0.04330779396061496,0.04693979813405235,0.0484447541419364,0.0015049560078840493,0.004171179967216911,-0.0004899058130943545,-1.695302792673742e-05,,,,,
fold,4,M3_full_three_way_interaction,all,628635,29508,0.17320965970877655,0.04326675846201174,0.04693979813405235,0.04842380428637107,0.0014840061523187162,0.0037327986512021606,-0.0007291043602981329,-5.7988526529960394e-05,,,,,
summary,mean,M0_participant_current_condition,all,3143319,151583,0.1771550711629266,0.044352551819712,0.0482238514158237,0.04822156048015123,-2.290935672477623e-06,0.0033826041733809433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summary,mean,M1_plus_generic_previous_error,all,3143319,151583,0.17663563647106725,0.044321820146218396,0.0482238514158237,0.04820859941932175,-1.5251996501951248e-05,0.0037159841731523495,-0.0005194346918593384,-3.073167349358919e-05,-0.0010297602946271718,-0.0005351682440416628,-0.00011867726191435844,-2.633212844616912e-05,0.8266666666666667
summary,mean,M2_plus_previous_condition_history,all,3143319,151583,0.17661334173533233,0.04432034023727594,0.0482238514158237,0.04820829180773489,-1.5559608088808187e-05,0.0033998764246781998,-0.0005417294275942841,-3.2211582436050826e-05,-0.0010672303545106218,-0.000545646340242816,-0.00011834518245585364,-2.997240930578537e-05,0.8266666666666667
summary,mean,M3_full_three_way_interaction,all,3143319,151583,0.1764110565473808,0.0442919650505176,0.0482238514158237,0.04820124106154241,-2.261035428128555e-05,0.003136588449444612,-0.0007440146155458016,-6.058676919439704e-05,-0.0013427133099637232,-0.0007401299057484177,-0.00013827820682037927,-5.5784868649038075e-05,0.8533333333333334
