n_participants,n_raw_stable_participants,n_trials_after_previous_correct,n_errors_after_previous_correct,n_trials_after_previous_error,n_errors_after_previous_error,mean_shrunk_risk_after_previous_correct,risk_after_previous_correct_ci_low,risk_after_previous_correct_ci_high,mean_shrunk_risk_after_previous_error,risk_after_previous_error_ci_low,risk_after_previous_error_ci_high,population_mean_risk_difference,risk_difference_ci_low,risk_difference_ci_high,n_positive,proportion_positive,population_mean_log_odds_ratio,log_odds_ratio_ci_low,log_odds_ratio_ci_high,population_geometric_mean_odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,prior_correct_alpha,prior_correct_beta,prior_error_alpha,prior_error_beta,pooled_risk_after_previous_correct,pooled_risk_after_previous_error,pooled_risk_difference,transition,transition_label,previous_condition,current_condition,estimation
75,72,777342,13065,13517,1181,0.017040372686170584,0.01404973821956658,0.02060984785051617,0.05718766043869041,0.04905245781672303,0.06551049723255675,0.040147287752519814,0.03282303743562679,0.04775829040202971,72,0.96,1.3067257005864343,1.148570789842394,1.4641938574813922,3.694058435144058,3.1536824122956832,4.324056029476963,1.8902374777402635,101.46549733947995,1.8902374777402635,101.46549733947995,0.01680727401838573,0.08737145816379374,0.07056418414540801,C_to_C,C→C,congruent,congruent,participant_empirical_bayes
75,75,727123,11911,57478,3165,0.016165808018678392,0.013622082976817777,0.019189353506748632,0.05219761099735186,0.0453606401842567,0.05976293994280072,0.03603180297867346,0.030077527223910393,0.04239230327660928,72,0.96,1.300509045840506,1.1289734514827896,1.4796713221063698,3.6711649833143007,3.092480289081009,4.391502054042637,2.012442142850416,102.66324230777988,2.012442142850416,102.66324230777988,0.016380997437847516,0.0550645464351578,0.03868354899731028,I_to_C,I→C,incongruent,congruent,participant_empirical_bayes
75,72,773321,59985,13518,1900,0.07601079523702442,0.06743563576068674,0.08489973617501799,0.12465220883493106,0.11137872132729355,0.13892056998765495,0.04864141359790663,0.035975406092423286,0.06184976412998999,60,0.8,0.5986749386752473,0.4422032447223943,0.7555657482306163,1.819705980159426,1.5561319839086887,2.1288155563677336,2.9728186267268057,35.661699060403755,2.9728186267268057,35.661699060403755,0.07756804742144595,0.14055333629235095,0.062985288870905,C_to_I,C→I,congruent,incongruent,participant_empirical_bayes
75,75,724076,53081,56944,7295,0.07322579793344763,0.0648629747137893,0.08197640730204518,0.12096644143465994,0.1094626576355665,0.13347081943799052,0.04774064350121229,0.03736978815601501,0.058294541152772474,65,0.8666666666666667,0.6112142688866953,0.47693155627628564,0.7446132484306869,1.8426675347276722,1.611123169011417,2.1056269229671347,3.0196352788626823,36.44818002971037,3.0196352788626823,36.44818002971037,0.07330860296432971,0.12810831694296151,0.0547997139786318,I_to_I,I→I,incongruent,incongruent,participant_empirical_bayes
