transition,transition_label,previous_condition,current_condition,previous_accuracy,participant_mean_shrunk_error_probability,ci_low,ci_high,n_trials,n_errors,participant_equal_weight_predicted_probability
C_to_C,C→C,congruent,congruent,previous_correct,0.017040372686170584,0.01404973821956658,0.02060984785051617,777342,13065,0.016743293570492198
C_to_C,C→C,congruent,congruent,previous_error,0.05718766043869041,0.04905245781672303,0.06551049723255675,13517,1181,0.06826615715547683
I_to_C,I→C,incongruent,congruent,previous_correct,0.016165808018678392,0.013622082976817777,0.019189353506748632,727123,11911,0.016539689103519193
I_to_C,I→C,incongruent,congruent,previous_error,0.05219761099735186,0.0453606401842567,0.05976293994280072,57478,3165,0.044241105657615167
C_to_I,C→I,congruent,incongruent,previous_correct,0.07601079523702442,0.06743563576068674,0.08489973617501799,773321,59985,0.07709520548057533
C_to_I,C→I,congruent,incongruent,previous_error,0.12465220883493106,0.11137872132729355,0.13892056998765495,13518,1900,0.11087611432465216
I_to_I,I→I,incongruent,incongruent,previous_correct,0.07322579793344763,0.0648629747137893,0.08197640730204518,724076,53081,0.07379749898990552
I_to_I,I→I,incongruent,incongruent,previous_error,0.12096644143465994,0.1094626576355665,0.13347081943799052,56944,7295,0.1038417325647487
