analysis_group,source,congruent_error_rate,incongruent_error_rate
young_20_29,human,0.0179856115107913,0.0832666132906325
young_20_29,WR2_fine_3744359a,0.0191846522781774,0.1709367493995196
older_80_89,human,0.0099641291351135,0.0389401846647932
older_80_89,WR2_fine_3744359a,0.0063770426464726,0.0541951023685267
