analysis_group,congruency,n,mean,se
young_20_29,congruent,2502,0.694027365,0.0007100217773103203
young_20_29,incongruent,2498,0.4336583267293835,0.000643900774002239
older_80_89,congruent,2509,0.6912476700438421,0.0007713967921414296
older_80_89,incongruent,2491,0.4321013879004416,0.000627463946148692
