analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,1,0.18,0.11929726,0.1018548,0.003
young_20_29,1,0.19,0.1197275,0.10048962,0.003
young_20_29,1,0.2,0.121064134,0.09944362,0.003
young_20_29,1,0.21,0.123376615,0.098523095,0.003
young_20_29,1,0.22,0.12526959,0.09762957,0.003
young_20_29,1,0.23,0.1295625,0.096780874,0.003
young_20_29,1,0.24,0.13076438,0.095992595,0.003
young_20_29,1,0.25,0.13360582,0.095641404,0.003
young_20_29,1,0.26,0.1374143,0.094528675,0.003
young_20_29,1,0.27,0.14026998,0.09339658,0.003
young_20_29,1,0.28,0.14321081,0.092728764,0.003
young_20_29,1,0.29,0.14505091,0.091450214,0.003
young_20_29,1,0.3,0.14771633,0.09030319,0.003
young_20_29,1,0.31,0.15216634,0.08914033,0.003
young_20_29,1,0.32,0.15690324,0.08780979,0.003
young_20_29,1,0.33,0.16117887,0.08616147,0.003
young_20_29,1,0.34,0.16397452,0.08500048,0.003
young_20_29,1,0.35000000000000003,0.16948354,0.084350646,0.003
young_20_29,1,0.36,0.17280644,0.083370715,0.003
young_20_29,1,0.37,0.17711005,0.083038665,0.003
young_20_29,1,0.38,0.17991833,0.08192859,0.003
young_20_29,1,0.39,0.18397999,0.08104826,0.003
young_20_29,1,0.4,0.18845695,0.07975411,0.003
young_20_29,1,0.41000000000000003,0.19192915,0.07869599,0.003
young_20_29,1,0.42,0.1955795,0.07746288,0.003
young_20_29,1,0.43,0.19998871,0.07596966,0.003
young_20_29,1,0.44,0.20457159,0.07416772,0.003
young_20_29,1,0.45,0.21046251,0.07272593,0.003
young_20_29,1,0.46,0.21542178,0.07077455,0.003
young_20_29,1,0.47000000000000003,0.22189227,0.06933174,0.003
young_20_29,1,0.48,0.22912084,0.067922786,0.003
young_20_29,1,0.49,0.23182137,0.06655389,0.003
young_20_29,1,0.5,0.23810333,0.06584327,0.003
young_20_29,1,0.51,0.24399151,0.06474722,0.003
young_20_29,1,0.52,0.24860197,0.06336613,0.003
young_20_29,1,0.53,0.2579805,0.06204947,0.003
young_20_29,1,0.54,0.2670178,0.061027437,0.003
young_20_29,1,0.55,0.27501866,0.06008199,0.003
young_20_29,1,0.56,0.2822081,0.05965097,0.003
young_20_29,1,0.5700000000000001,0.29129416,0.058342397,0.003
young_20_29,1,0.58,0.3001331,0.057225447,0.003
young_20_29,1,0.59,0.31290463,0.055908427,0.003
young_20_29,1,0.6,0.32395482,0.05549356,0.003
young_20_29,1,0.61,0.33440992,0.054609183,0.003
young_20_29,1,0.62,0.34919962,0.053376105,0.003
young_20_29,1,0.63,0.36005148,0.051871374,0.003
young_20_29,1,0.64,0.37128448,0.0509297,0.003
young_20_29,1,0.65,0.3824304,0.050108965,0.003
young_20_29,1,0.66,0.39497095,0.049110346,0.003
young_20_29,1,0.67,0.4089935,0.048283596,0.003
young_20_29,1,0.68,0.42583394,0.04663692,0.003
young_20_29,1,0.6900000000000001,0.4416509,0.0457027,0.003
young_20_29,1,0.7000000000000001,0.454872,0.044552963,0.003
young_20_29,1,0.71,0.47032014,0.043278594,0.003
young_20_29,1,0.72,0.485614,0.042105377,0.003
young_20_29,1,0.73,0.49974677,0.0408232,0.003
young_20_29,1,0.74,0.5151094,0.03944331,0.003
young_20_29,1,0.75,0.5285095,0.038322307,0.003
young_20_29,1,0.76,0.5392691,0.037572812,0.003
young_20_29,1,0.77,0.5536151,0.036909826,0.003
young_20_29,1,0.78,0.5519212,0.03621715,0.003
young_20_29,1,0.79,0.550267,0.03584052,0.003
young_20_29,2,0.0,0.09921804,0.10163161,0.003
young_20_29,2,0.01,0.10046927,0.10303089,0.003
young_20_29,2,0.02,0.10100868,0.10370404,0.003
young_20_29,2,0.03,0.10207231,0.104505725,0.003
young_20_29,2,0.04,0.10365108,0.10503111,0.003
young_20_29,2,0.05,0.10418045,0.10603993,0.003
young_20_29,2,0.06,0.10521471,0.10665653,0.003
young_20_29,2,0.07,0.10598713,0.107539445,0.003
young_20_29,2,0.08,0.10647927,0.10704226,0.003
young_20_29,2,0.09,0.10853969,0.10717831,0.003
young_20_29,2,0.1,0.11030925,0.10792337,0.003
young_20_29,2,0.11,0.11111631,0.107370965,0.003
young_20_29,2,0.12,0.11202789,0.107583866,0.003
young_20_29,2,0.13,0.112777025,0.108211346,0.003
young_20_29,2,0.14,0.115056306,0.10771625,0.003
young_20_29,2,0.15,0.11670222,0.106645085,0.003
young_20_29,2,0.16,0.12009321,0.10514762,0.003
young_20_29,2,0.17,0.120964326,0.10458016,0.003
young_20_29,2,0.18,0.12362877,0.10307758,0.003
young_20_29,2,0.19,0.12553008,0.10152201,0.003
young_20_29,2,0.2,0.12710162,0.09920349,0.003
young_20_29,2,0.21,0.12843914,0.097856596,0.003
young_20_29,2,0.22,0.13186894,0.096455775,0.003
young_20_29,2,0.23,0.13373925,0.09580386,0.003
young_20_29,2,0.24,0.13660347,0.09504079,0.003
young_20_29,2,0.25,0.13949218,0.093579814,0.003
young_20_29,2,0.26,0.14370494,0.091948695,0.003
young_20_29,2,0.27,0.1458193,0.09049427,0.003
young_20_29,2,0.28,0.14961924,0.088326946,0.003
young_20_29,2,0.29,0.15123089,0.08675956,0.003
young_20_29,2,0.3,0.1557246,0.08705684,0.003
young_20_29,2,0.31,0.15982613,0.08629262,0.003
young_20_29,2,0.32,0.16271637,0.0851798,0.003
young_20_29,2,0.33,0.16482742,0.08468305,0.003
young_20_29,2,0.34,0.16802697,0.08401307,0.003
young_20_29,2,0.35000000000000003,0.1687816,0.082842335,0.003
young_20_29,2,0.36,0.17144923,0.08115149,0.003
young_20_29,2,0.37,0.17418742,0.07961477,0.003
young_20_29,2,0.38,0.1797448,0.07888834,0.003
young_20_29,2,0.39,0.18470287,0.07799984,0.003
